family,genus,scientificname,name,taxonomic_level
Schizaeaceae,Actinostachys,pennula,Actinostachys pennula,species
Pteridaceae,Adiantum,adiantoides,Adiantum adiantoides,species
Pteridaceae,Adiantum,argutum,Adiantum argutum,species
Pteridaceae,Adiantum,cajennense,Adiantum cajennense,species
Pteridaceae,Adiantum,cinnamomeum,Adiantum cinnamomeum,species
Pteridaceae,Adiantum,decoratum,Adiantum decoratum,species
Pteridaceae,Adiantum,diogoanum,Adiantum diogoanum,species
Pteridaceae,Adiantum,dolosum,Adiantum dolosum,species
Pteridaceae,Adiantum,glaucescens,Adiantum glaucescens,species
Pteridaceae,Adiantum,humile,Adiantum humile,species
Pteridaceae,Adiantum,leprieurii,Adiantum leprieurii,species
Pteridaceae,Adiantum,lucidum,Adiantum lucidum,species
Pteridaceae,Adiantum,macrocladum,Adiantum macrocladum,species
Pteridaceae,Adiantum,macrophyllum,Adiantum macrophyllum,species
Pteridaceae,Adiantum,nodosum,Adiantum nodosum,species
Pteridaceae,Adiantum,obliquum,Adiantum obliquum,species
Pteridaceae,Adiantum,paraense,Adiantum paraense,species
Pteridaceae,Adiantum,petiolatum,Adiantum petiolatum,species
Pteridaceae,Adiantum,platyphyllum,Adiantum platyphyllum,species
Pteridaceae,Adiantum,poeppigianum,Adiantum poeppigianum,species
Pteridaceae,Adiantum,pulverulentum,Adiantum pulverulentum,species
Pteridaceae,Adiantum,scalare,Adiantum scalare,species
Pteridaceae,Adiantum,terminatum,Adiantum terminatum,species
Pteridaceae,Adiantum,tomentosum,Adiantum tomentosum,species
Pteridaceae,Adiantum,tuomistoanum,Adiantum tuomistoanum,species
Cyatheaceae,Alsophila,cuspidata,Alsophila cuspidata,species
Pteridaceae,Ananthacorus,angustifolius,Ananthacorus angustifolius,species
Aspleniaceae,Asplenium,angustum,Asplenium angustum,species
Aspleniaceae,Asplenium,auritum,Asplenium auritum,species
Aspleniaceae,Asplenium,cirrhatum,Asplenium cirrhatum,species
Aspleniaceae,Asplenium,claussenii,Asplenium claussenii,species
Aspleniaceae,Asplenium,delitescens,Asplenium delitescens,species
Aspleniaceae,Asplenium,hallii,Asplenium hallii,species
Aspleniaceae,Asplenium,juglandifolium,Asplenium juglandifolium,species
Aspleniaceae,Asplenium,pearcei,Asplenium pearcei,species
Aspleniaceae,Asplenium,serratum,Asplenium serratum,species
Aspleniaceae,Asplenium,stuebelianum,Asplenium stuebelianum,species
Dryopteridaceae,Bolbitis,semipinnatifida,Bolbitis semipinnatifida,species
Polypodiaceae,Campyloneurum,angustifolium,Campyloneurum angustifolium,species
Polypodiaceae,Campyloneurum,aphanophlebium,Campyloneurum aphanophlebium,species
Polypodiaceae,Campyloneurum,fuscosquamatum,Campyloneurum fuscosquamatum,species
Polypodiaceae,Campyloneurum,phyllitidis,Campyloneurum phyllitidis,species
Cyatheaceae,Cnemidaria,ewanii,Cnemidaria ewanii,species
Dryopteridaceae,Ctenitis,refulgens,Ctenitis refulgens,species
Cyatheaceae,Cyathea,andina,Cyathea andina,species
Cyatheaceae,Cyathea,bradei,Cyathea bradei,species
Cyatheaceae,Cyathea,lasiosora,Cyathea lasiosora,species
Cyatheaceae,Cyathea,leucolepismata,Cyathea leucolepismata,species
Cyatheaceae,Cyathea,pungens,Cyathea pungens,species
Cyatheaceae,Cyathea,traillii,Cyathea traillii,species
Dryopteridaceae,Cyclodium,guianense,Cyclodium guianense,species
Dryopteridaceae,Cyclodium,inerme,Cyclodium inerme,species
Dryopteridaceae,Cyclodium,meniscioides,Cyclodium meniscioides,species
Dryopteridaceae,Cyclodium,trianae,Cyclodium trianae,species
Lomariopsidaceae,Cyclopeltis,semicordata,Cyclopeltis semicordata,species
Marattiaceae,Danaea,acuminata,Danaea acuminata,species
Marattiaceae,Danaea,bipinnata,Danaea bipinnata,species
Marattiaceae,Danaea,cartilaginea,Danaea cartilaginea,species
Marattiaceae,Danaea,leprieurii,Danaea leprieurii,species
Marattiaceae,Danaea,nigrescens,Danaea nigrescens,species
Marattiaceae,Danaea,simplicifolia,Danaea simplicifolia,species
Marattiaceae,Danaea,trifoliata,Danaea trifoliata,species
Dennstaedtiaceae,Dennstaedtia,obtusifolia,Dennstaedtia obtusifolia,species
Didymochlaenaceae,Didymochlaena,truncatula,Didymochlaena truncatula,species
Athyriaceae,Diplazium,grandifolium,Diplazium grandifolium,species
Athyriaceae,Diplazium,tabalosense,Diplazium tabalosense,species
Tectariaceae,Draconopteris,draconoptera,Draconopteris draconoptera,species
Dryopteridaceae,Elaphoglossum,discolor,Elaphoglossum discolor,species
Dryopteridaceae,Elaphoglossum,flaccidum,Elaphoglossum flaccidum,species
Dryopteridaceae,Elaphoglossum,glabellum,Elaphoglossum glabellum,species
Dryopteridaceae,Elaphoglossum,luridum,Elaphoglossum luridum,species
Dryopteridaceae,Elaphoglossum,megalurum,Elaphoglossum megalurum,species
Dryopteridaceae,Elaphoglossum,obovatum,Elaphoglossum obovatum,species
Dryopteridaceae,Elaphoglossum,plumosum,Elaphoglossum plumosum,species
Dryopteridaceae,Elaphoglossum,raywaense,Elaphoglossum raywaense,species
Dryopteridaceae,Elaphoglossum,styriacum,Elaphoglossum styriacum,species
Thelypteridaceae,Goniopteris,abrupta,Goniopteris abrupta,species
Thelypteridaceae,Goniopteris,biformata,Goniopteris biformata,species
Thelypteridaceae,Goniopteris,juruensis,Goniopteris juruensis,species
Thelypteridaceae,Goniopteris,lugubriformis,Goniopteris lugubriformis,species
Hemidictyaceae,Hemidictiym,marginatum,Hemidictiym marginatum,species
Tectariaceae,Hypoderris,brauniana,Hypoderris brauniana,species
Dryopteridaceae,Lastreopsis,effusa,Lastreopsis effusa,species
Lindsaeaceae,Lindsaea,digitata,Lindsaea digitata,species
Lindsaeaceae,Lindsaea,falcata,Lindsaea falcata,species
Lindsaeaceae,Lindsaea,guianensis,Lindsaea guianensis,species
Lindsaeaceae,Lindsaea,hemiglossa,Lindsaea hemiglossa,species
Lindsaeaceae,Lindsaea,lancea,Lindsaea lancea,species
Lindsaeaceae,Lindsaea,phassa,Lindsaea phassa,species
Lindsaeaceae,Lindsaea,portoricensis,Lindsaea portoricensis,species
Lindsaeaceae,Lindsaea,schomburgkii,Lindsaea schomburgkii,species
Lindsaeaceae,Lindsaea,stricta,Lindsaea stricta,species
Lindsaeaceae,Lindsaea,taeniata,Lindsaea taeniata,species
Lindsaeaceae,Lindsaea,tetraptera,Lindsaea tetraptera,species
Lindsaeaceae,Lindsaea,ulei,Lindsaea ulei,species
Lomariopsidaceae,Lomariopsis,fendleri,Lomariopsis fendleri,species
Lomariopsidaceae,Lomariopsis,japurensis,Lomariopsis japurensis,species
Lomariopsidaceae,Lomariopsis,latipinna,Lomariopsis latipinna,species
Lomariopsidaceae,Lomariopsis,nigropaleata,Lomariopsis nigropaleata,species
Lomariopsidaceae,Lomariopsis,prieuriana,Lomariopsis prieuriana,species
Schizaeaceae,Lygodium,volubile,Lygodium volubile,species
Metaxyaceae,Metaxya,parkeri,Metaxya parkeri,species
Metaxyaceae,Metaxya,rostrata,Metaxya rostrata,species
Metaxyaceae,Metaxya,scalaris,Metaxya scalaris,species
Dryopteridaceae,Mickelia,guianensis,Mickelia guianensis,species
Dryopteridaceae,Mickelia,lindigii,Mickelia lindigii,species
Dryopteridaceae,Mickelia,nicotianifolia,Mickelia nicotianifolia,species
Dryopteridaceae,Mickelia,oligarchica,Mickelia oligarchica,species
Polypodiaceae,Microgramma,baldwinii,Microgramma baldwinii,species
Polypodiaceae,Microgramma,dictyophylla,Microgramma dictyophylla,species
Polypodiaceae,Microgramma,megalophylla,Microgramma megalophylla,species
Polypodiaceae,Microgramma,percussa,Microgramma percussa,species
Polypodiaceae,Microgramma,reptans,Microgramma reptans,species
Polypodiaceae,Microgramma,thurnii,Microgramma thurnii,species
Polypodiaceae,Micropolypodium,nanum,Micropolypodium nanum,species
Nephrolepidaceae,Nephrolepis,biserrata,Nephrolepis biserrata,species
Nephrolepidaceae,Nephrolepis,rivularis,Nephrolepis rivularis,species
Polypodiaceae,Pecluma,hygrometrica,Pecluma hygrometrica,species
Polypodiaceae,Pecluma,pectinata,Pecluma pectinata,species
Polypodiaceae,Pecluma,plumula,Pecluma plumula,species
Polypodiaceae,Phlebodium,decumanum,Phlebodium decumanum,species
Pteridaceae,Pityrogramma,calomelanos,Pityrogramma calomelanos,species
Polypodiaceae,Pleopeltis,bombycina,Pleopeltis bombycina,species
Polypodiaceae,Pleopeltis,desvauxii,Pleopeltis desvauxii,species
Dryopteridaceae,Polybotrya,caudata,Polybotrya caudata,species
Dryopteridaceae,Polybotrya,crassirhizoma,Polybotrya crassirhizoma,species
Dryopteridaceae,Polybotrya,fractiserialis,Polybotrya fractiserialis,species
Dryopteridaceae,Polybotrya,glandulosa,Polybotrya glandulosa,species
Dryopteridaceae,Polybotrya,pubens,Polybotrya pubens,species
Dryopteridaceae,Polybotrya,sessilisora,Polybotrya sessilisora,species
Pteridaceae,Polytaenium,cajenense,Polytaenium cajenense,species
Pteridaceae,Polytaenium,citrifolium,Polytaenium citrifolium,species
Pteridaceae,Polytaenium,guayanense,Polytaenium guayanense,species
Pteridaceae,Pteris,altissima,Pteris altissima,species
Pteridaceae,Pteris,propinqua,Pteris propinqua,species
Pteridaceae,Pteris,pungens,Pteris pungens,species
Saccolomataceae,Saccoloma,elegans,Saccoloma elegans,species
Saccolomataceae,Saccoloma,inaequale,Saccoloma inaequale,species
Blechnaceae,Salpichlaena,hookeriana,Salpichlaena hookeriana,species
Blechnaceae,Salpichlaena,volubilis,Salpichlaena volubilis,species
Schizaeaceae,Schizaea,elegans,Schizaea elegans,species
Selaginellaceae,Selaginella,anceps,Selaginella anceps,species
Selaginellaceae,Selaginella,asperula,Selaginella asperula,species
Selaginellaceae,Selaginella,breynii,Selaginella breynii,species
Selaginellaceae,Selaginella,conduplicata,Selaginella conduplicata,species
Selaginellaceae,Selaginella,exaltata,Selaginella exaltata,species
Selaginellaceae,Selaginella,flagellata,Selaginella flagellata,species
Selaginellaceae,Selaginella,haematodes,Selaginella haematodes,species
Selaginellaceae,Selaginella,lechleri,Selaginella lechleri,species
Selaginellaceae,Selaginella,palmiformis,Selaginella palmiformis,species
Selaginellaceae,Selaginella,parkeri,Selaginella parkeri,species
Selaginellaceae,Selaginella,pedata,Selaginella pedata,species
Selaginellaceae,Selaginella,producta,Selaginella producta,species
Selaginellaceae,Selaginella,revoluta,Selaginella revoluta,species
Polypodiaceae,Serpocaulon,adnatum,Serpocaulon adnatum,species
Polypodiaceae,Serpocaulon,dasypleuron,Serpocaulon dasypleuron,species
Thelypteridaceae,Steiropteris,pennellii,Steiropteris pennellii,species
Dryopteridaceae,Stigmatopteris,opaca,Stigmatopteris opaca,species
Tectariaceae,Tectaria,andina,Tectaria andina,species
Tectariaceae,Tectaria,microsora,Tectaria microsora,species
Tectariaceae,Tectaria,pilosa,Tectaria pilosa,species
Tectariaceae,Tectaria,pubens,Tectaria pubens,species
Tectariaceae,Tectaria,vivipara,Tectaria vivipara,species
Hymenophyllaceae,Trichomanes,accedens,Trichomanes accedens,species
Hymenophyllaceae,Trichomanes,ankersii,Trichomanes ankersii,species
Hymenophyllaceae,Trichomanes,bicorne,Trichomanes bicorne,species
Hymenophyllaceae,Trichomanes,botryoides,Trichomanes botryoides,species
Hymenophyllaceae,Trichomanes,cellulosum,Trichomanes cellulosum,species
Hymenophyllaceae,Trichomanes,collariatum,Trichomanes collariatum,species
Hymenophyllaceae,Trichomanes,diversifrons,Trichomanes diversifrons,species
Hymenophyllaceae,Trichomanes,elegans,Trichomanes elegans,species
Hymenophyllaceae,Trichomanes,hostmannianum,Trichomanes hostmannianum,species
Hymenophyllaceae,Trichomanes,martiusii,Trichomanes martiusii,species
Hymenophyllaceae,Trichomanes,pinnatum,Trichomanes pinnatum,species
Hymenophyllaceae,Trichomanes,polypodioides,Trichomanes polypodioides,species
Hymenophyllaceae,Trichomanes,spruceanum,Trichomanes spruceanum,species
Hymenophyllaceae,Trichomanes,tanaicum,Trichomanes tanaicum,species
Hymenophyllaceae,Trichomanes,trollii,Trichomanes trollii,species
Hymenophyllaceae,Trichomanes,tuerckheimii,Trichomanes tuerckheimii,species
Hymenophyllaceae,Trichomanes,vittaria,Trichomanes vittaria,species
Tectariaceae,Triplophyllum,crassifolium,Triplophyllum crassifolium,species
Tectariaceae,Triplophyllum,dicksonioides,Triplophyllum dicksonioides,species
Tectariaceae,Triplophyllum,funestum,Triplophyllum funestum,species
Tectariaceae,Triplophyllum,glabrum,Triplophyllum glabrum,species
Tectariaceae,Triplophyllum,hirsutum,Triplophyllum hirsutum,species
Thelypteridaceae,Amblovenatum,opulentum,Amblovenatum opulentum,species
Thelypteridaceae,Christella,dentata,Christella dentata,species
Marattiaceae,Danaea,opaca,Danaea opaca,species
Thelypteridaceae,Goniopteris,biolleyi,Goniopteris biolleyi,species
Thelypteridaceae,Goniopteris,schunkei,Goniopteris schunkei,species
Thelypteridaceae,Goniopteris,tristis,Goniopteris tristis,species
Thelypteridaceae,Meniscium,arcanum,Meniscium arcanum,species
Thelypteridaceae,Meniscium,lingulatum,Meniscium lingulatum,species
Pteridaceae,Pteris,tripartita,Pteris tripartita,species
Pteridaceae,Adiantopsis,radiata,Adiantopsis radiata,species
Pteridaceae,Adiantum,fuliginosum,Adiantum fuliginosum,species
Pteridaceae,Adiantum,nudum,Adiantum nudum,species
Cyatheaceae,Cyathea,vaupensis,Cyathea vaupensis,species
Marattiaceae,Danaea,ulei,Danaea ulei,species
Dennstaedtiaceae,Dennstaedtia,aculeata,Dennstaedtia aculeata,species
Athyriaceae,Diplazium,aberrans,Diplazium aberrans,species
Lomariopsidaceae,Dracoglossum,sinuatum,Dracoglossum sinuatum,species
Lindsaeaceae,Lindsaea,divaricata,Lindsaea divaricata,species
Lindsaeaceae,Lindsaea,dubia,Lindsaea dubia,species
Lindsaeaceae,Lindsaea,elatior,Lindsaea elatior,species
Lindsaeaceae,Lindsaea,hemiptera,Lindsaea hemiptera,species
Lindsaeaceae,Lindsaea,pallida,Lindsaea pallida,species
Thelypteridaceae,Meniscium,macrophyllum,Meniscium macrophyllum,species
Metaxyaceae,Metaxya,lanosa,Metaxya lanosa,species
Polypodiaceae,Microgramma,acatallela,Microgramma acatallela,species
Dennstaedtiaceae,Pteridium,arachnoideum,Pteridium arachnoideum,species
Blechnaceae,Salpichlaena,hybrida,Salpichlaena hybrida,species
Blechnaceae,Salpichlaena,papyrus,Salpichlaena papyrus,species
Polypodiaceae,Serpocaulon,caceresii,Serpocaulon caceresii,species
Thelypteridaceae,Steiropteris,leprieurii,Steiropteris leprieurii,species
Hymenophyllaceae,Trichomanes,arbuscula,Trichomanes arbuscula,species
Hymenophyllaceae,Trichomanes,humboldtii,Trichomanes humboldtii,species
Hymenophyllaceae,Trichomanes,macilentum,Trichomanes macilentum,species
