name,taxa,scientificname,genus,family,taxonomic_level
Astrocaryum sciophilum,palms,Astrocaryum sciophilum,Astrocaryum,,species
Geonoma macrostachys,palms,Geonoma macrostachys,Geonoma,,species
Bactris trailiana,palms,Bactris trailiana,Bactris,,species
Attalea maripa,palms,Attalea maripa,Attalea,,species
Astrocaryum aculeatum,palms,Astrocaryum aculeatum,Astrocaryum,,species
Manicaria,palms,,Manicaria,,genus
Desmoncus orthacanthos,palms,Desmoncus orthacanthos,Desmoncus,,species
Astrocaryum murumuru,palms,Astrocaryum murumuru,Astrocaryum,,species
Geonoma baculifera,palms,Geonoma baculifera,Geonoma,,species
Cocos,palms,,Cocos,,genus
Cocos nucifera,palms,Cocos nucifera,Cocos,,species
Geonoma leptospadix,palms,Geonoma leptospadix,Geonoma,,species
Desmoncus parvulus,palms,Desmoncus parvulus,Desmoncus,,species
Desmoncus phoenicocarpus,palms,Desmoncus phoenicocarpus,Desmoncus,,species
Mauritiella aculeata,palms,Mauritiella aculeata,Mauritiella,,species
Euterpe longebracteata,palms,Euterpe longebracteata,Euterpe,,species
Elaeis oleifera,palms,Elaeis oleifera,Elaeis,,species
Oenocarpus minor,palms,Oenocarpus minor,Oenocarpus,,species
Astrocaryum jauari,palms,Astrocaryum jauari,Astrocaryum,,species
Oenocarpus bataua,palms,Oenocarpus bataua,Oenocarpus,,species
Bactris major,palms,Bactris major,Bactris,,species
Hyospathe elegans,palms,Hyospathe elegans,Hyospathe,,species
Bactris balanophora,palms,Bactris balanophora,Bactris,,species
Mauritiella,palms,,Mauritiella,,genus
Manicaria saccifera,palms,Manicaria saccifera,Manicaria,,species
Geonoma stricta,palms,Geonoma stricta,Geonoma,,species
Mauritia flexuosa,palms,Mauritia flexuosa,Mauritia,,species
Elaeis,palms,,Elaeis,,genus
Bactris hirta,palms,Bactris hirta,Bactris,,species
Geonoma maxima,palms,Geonoma maxima,Geonoma,,species
Oenocarpus bacaba,palms,Oenocarpus bacaba,Oenocarpus,,species
Bactris gasipaes,palms,Bactris gasipaes,Bactris,,species
Euterpe precatoria,palms,Euterpe precatoria,Euterpe,,species
Attalea microcarpa,palms,Attalea microcarpa,Attalea,,species
Geonoma deversa,palms,Geonoma deversa,Geonoma,,species
Bactris killipii,palms,Bactris killipii,Bactris,,species
Mauritiella armata,palms,Mauritiella armata,Mauritiella,,species
Geonoma umbraculiformis,palms,Geonoma umbraculiformis,Geonoma,,species
Desmoncus polyacanthos,palms,Desmoncus polyacanthos,Desmoncus,,species
Hyospathe,palms,,Hyospathe,,genus
Bactris acanthocarpa,palms,Bactris acanthocarpa,Bactris,,species
Lepidocaryum,palms,,Lepidocaryum,,genus
Bactris simplicifrons,palms,Bactris simplicifrons,Bactris,,species
Astrocaryum paramaca,palms,Astrocaryum paramaca,Astrocaryum,,species
Astrocaryum farinosum,palms,Astrocaryum farinosum,Astrocaryum,,species
Bactris brongniartii,palms,Bactris brongniartii,Bactris,,species
Astrocaryum gynacanthum,palms,Astrocaryum gynacanthum,Astrocaryum,,species
Bactris elegans,palms,Bactris elegans,Bactris,,species
Lepidocaryum tenue,palms,Lepidocaryum tenue,Lepidocaryum,,species